bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
3,2.0,2099,4242,1.0,0,0,3,7,2035,64,2005,0,98127,47.6778,-122.1591,1830,4454,565000
6,5.0,2994,1990,1.0,0,0,3,8,2557,437,1910,1985,98067,47.227,-121.7434,2457,1668,793000
4,4.0,1918,6114,1.5,0,0,4,8,1232,686,1934,0,98062,47.4335,-122.4296,2187,5607,683000
3,4.0,1837,1000,3.0,0,4,3,6,1760,77,1928,0,98165,47.7645,-122.0492,1525,1246,792000
2,1.0,1162,4566,1.0,0,1,3,7,1066,96,1907,0,98150,47.5079,-122.1873,1112,4472,415000
2,2.0,1092,4978,2.0,0,0,3,10,983,109,1916,0,98031,47.1718,-122.0556,915,5260,454000
2,2.0,954,9281,1.5,1,0,3,5,586,368,1970,0,98046,47.6123,-122.4349,978,11708,466000
5,4.0,1974,10710,1.0,0,0,4,8,1815,159,1911,0,98045,47.13,-121.631,1866,10495,547000
4,3.0,1983,3285,2.0,0,0,3,10,1299,684,2011,0,98014,47.6196,-122.36,1747,3065,692000
4,4.0,2147,4357,2.0,0,0,3,6,1479,668,1978,0,98121,47.7158,-122.4827,2229,5385,637000
1,1.0,871,2663,2.0,0,3,3,9,724,147,2016,0,98140,47.3977,-121.3645,823,3320,508000
6,5.0,2775,1993,2.5,0,4,3,10,1959,816,1992,0,98119,47.3895,-122.2685,2405,1819,971000
4,3.0,1816,6298,1.0,0,0,3,8,1570,246,2008,0,98191,47.3129,-121.5063,1961,6646,627000
2,2.0,1482,1774,1.0,0,0,3,6,1250,232,1949,0,98077,47.7139,-121.3426,1682,2268,488000
2,3.0,905,3527,3.0,0,0,4,7,582,323,2013,0,98088,47.4834,-121.8591,823,2586,491000
2,2.0,1533,2217,1.5,1,0,2,5,1322,211,1923,0,98166,47.5055,-121.8687,1341,1605,582000
3,3.0,1399,7629,2.0,0,0,3,9,1356,43,1936,0,98117,47.5632,-122.0591,1161,7705,562000
3,4.0,1474,20767,2.0,0,0,2,9,979,495,1977,0,98175,47.3102,-121.9893,1490,18166,528000
3,4.0,1260,1735,1.0,0,0,3,8,1057,203,1910,0,98124,47.403,-121.9215,1427,1820,479000
3,2.0,1550,1116,2.0,0,2,3,7,1142,408,1998,0,98054,47.6191,-122.3175,1395,1266,685000
